City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Kamenka,RU,51.3223,42.7678,-3.26,91,60,9.95,broken clouds
115,Aitape,PG,-3.1374,142.3475,77.52,86,98,5.5,overcast clouds
116,Nantucket,US,41.2835,-70.0995,39.2,75,90,18.41,light rain
117,Pisco,PE,-13.7,-76.2167,73.99,88,75,3.44,broken clouds
118,Merrill,US,45.1805,-89.6835,-15.0,63,1,4.61,clear sky
119,Pucallpa,PE,-8.3791,-74.5539,84.2,74,75,4.61,broken clouds
120,Nyurba,RU,63.2842,118.3319,-7.47,88,100,8.1,overcast clouds
121,Sorland,NO,67.667,12.6934,37.4,65,20,17.27,few clouds
122,Bairiki,KI,1.3292,172.9752,80.6,83,75,5.75,moderate rain
123,Salalah,OM,17.0151,54.0924,75.2,69,75,4.61,broken clouds
124,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,90,13.8,snow
125,Mount Gambier,AU,-37.8333,140.7667,55.4,71,90,8.05,overcast clouds
126,Bastogne,BE,50.0035,5.7184,39.0,75,77,6.13,broken clouds
127,Visnes,NO,59.3556,5.2242,28.0,46,0,11.5,clear sky
128,Fallon,US,39.4735,-118.7774,33.01,74,1,6.91,clear sky
129,Troitsko-Pechorsk,RU,62.7084,56.1964,-25.15,85,100,9.98,light snow
130,Anadyr,RU,64.75,177.4833,-4.0,71,0,8.95,clear sky
131,Okhotsk,RU,59.3833,143.3,14.16,88,100,23.85,overcast clouds
132,Paamiut,GL,61.994,-49.6678,33.24,81,87,15.23,overcast clouds
133,Carnarvon,AU,-24.8667,113.6333,78.8,100,40,12.66,scattered clouds
134,Dauphin,CA,51.1494,-100.0502,-29.2,68,1,12.66,clear sky
135,Christchurch,NZ,-43.5333,172.6333,60.01,94,14,10.36,few clouds
136,Auki,SB,-8.7676,160.7034,78.06,84,87,6.69,overcast clouds
137,Touros,BR,-5.1989,-35.4608,89.6,55,75,16.11,broken clouds
138,Lavrentiya,RU,65.5833,-171.0,-11.49,81,0,4.65,clear sky
139,Tiksi,RU,71.6872,128.8694,-29.69,83,87,3.89,overcast clouds
140,Novobirilyussy,RU,56.9514,90.6661,32.59,95,100,11.5,overcast clouds
141,Chapais,CA,49.7834,-74.8492,8.6,85,90,9.22,light snow
142,Barrow,US,71.2906,-156.7887,-18.4,69,90,11.5,light snow
143,Shimanovsk,RU,52.0,127.7,-11.58,88,0,7.49,clear sky
144,Lenine,UA,45.2986,35.7771,32.2,91,95,9.66,overcast clouds
145,Poum,NC,-20.2333,164.0167,79.75,70,94,1.86,overcast clouds
146,Dakar,SN,14.6937,-17.4441,73.4,49,0,17.27,clear sky
147,Pleshanovo,RU,52.8333,53.4833,-7.83,89,100,11.16,overcast clouds
148,Shahe,CN,39.2708,113.5478,25.77,72,0,4.05,clear sky
149,Pasni,PK,25.2631,63.471,69.67,51,0,7.05,clear sky
150,Mehamn,NO,71.0357,27.8492,23.04,94,98,20.18,light snow
151,Havoysund,NO,70.9963,24.6622,24.8,63,75,13.8,light snow
152,Igrim,RU,63.1906,64.4162,-5.75,91,100,14.36,snow
153,Madinat Sittah Uktubar,EG,29.8167,31.05,73.4,40,0,8.05,clear sky
154,Lazaro Cardenas,MX,17.9583,-102.2,76.75,66,16,4.74,few clouds
155,Yatou,CN,37.15,122.3833,28.87,81,80,15.3,broken clouds
156,Erzurum,TR,40.0,41.5,30.2,80,0,3.44,clear sky
157,Saint-Pierre,RE,-21.3393,55.4781,82.4,74,75,6.91,light rain
158,Tateyama,JP,34.9833,139.8667,48.0,46,66,4.0,broken clouds
159,Tigil,RU,57.8,158.6667,29.66,95,3,28.59,clear sky
160,Santa Ines,BR,-3.6667,-45.38,88.27,60,41,5.08,scattered clouds
161,Basar,IN,27.9833,94.6667,53.85,61,0,2.26,clear sky
162,Ndele,CF,8.4109,20.6473,93.9,10,73,6.58,broken clouds
163,Natal,BR,-5.795,-35.2094,89.6,55,75,13.8,broken clouds
164,Grenfell,AU,-33.9,148.1667,64.94,63,100,4.59,overcast clouds
165,Port Hardy,CA,50.6996,-127.4199,39.2,93,75,4.61,light rain
166,Daru,PG,-9.0763,143.2092,79.48,86,56,12.06,broken clouds
167,Wanxian,CN,30.8039,108.3897,51.28,77,100,4.36,overcast clouds
168,Shaowu,CN,27.3409,117.4831,60.94,77,14,2.68,few clouds
169,Golyshmanovo,RU,56.3979,68.3728,3.27,91,100,19.15,overcast clouds
170,Antalaha,MG,-14.9003,50.2788,81.25,76,65,5.46,broken clouds
171,Zambezi,ZM,-13.5432,23.1047,79.07,76,100,4.23,overcast clouds
172,Talnakh,RU,69.4865,88.3972,-24.18,72,0,3.69,clear sky
173,Udaipura,IN,23.0833,78.5,61.79,30,0,6.24,clear sky
174,Manono,CD,-7.3,27.4167,81.14,83,74,4.16,light rain
175,Whitehorse,CA,60.7161,-135.0538,-7.01,77,90,2.51,light snow
176,Yulara,AU,-25.2406,130.9889,82.4,26,0,9.22,clear sky
177,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,63,75,11.5,broken clouds
178,San Patricio,US,28.017,-97.5169,59.0,67,1,6.91,clear sky
179,Lorengau,PG,-2.0226,147.2712,81.91,81,97,8.95,overcast clouds
180,Saskylakh,RU,71.9167,114.0833,-38.58,78,25,11.65,scattered clouds
181,Praia,CV,14.9215,-23.5087,73.4,56,40,24.16,scattered clouds
182,Moron,AR,-34.6534,-58.6198,89.01,38,0,3.0,clear sky
183,Parnamirim,BR,-5.9156,-35.2628,89.6,55,75,13.8,broken clouds
184,Zhanakorgan,KZ,43.9098,67.2495,38.52,74,81,11.48,broken clouds
185,Avarua,CK,-21.2078,-159.775,77.0,94,20,5.75,light rain
186,Port Elizabeth,ZA,-33.918,25.5701,68.0,100,75,10.36,light intensity drizzle
187,Saint-Joseph,RE,-21.3667,55.6167,82.4,74,75,6.91,broken clouds
188,Gravelbourg,CA,49.8834,-106.5512,-23.8,62,69,4.61,broken clouds
189,Omsukchan,RU,62.5333,155.8,1.87,87,100,13.4,overcast clouds
190,Bambous Virieux,MU,-20.3428,57.7575,82.0,89,40,11.5,scattered clouds
191,Bassano,CA,50.7834,-112.4685,-20.99,67,92,2.3,overcast clouds
192,Codrington,AU,-38.2667,141.9667,56.61,68,80,10.69,broken clouds
193,Taguatinga,BR,-12.3857,-46.5711,70.32,95,100,0.65,overcast clouds
194,Dikson,RU,73.5069,80.5464,-26.86,87,91,10.58,overcast clouds
195,Jamestown,US,42.097,-79.2353,21.0,86,90,6.91,light snow
196,Saint-Philippe,RE,-21.3585,55.7679,82.4,74,75,6.91,broken clouds
197,Baghdad,IQ,33.3406,44.4009,66.2,63,40,6.91,scattered clouds
198,Georgetown,MY,5.4112,100.3354,84.2,74,20,3.44,few clouds
199,Qaanaaq,GL,77.484,-69.3632,10.8,88,99,3.11,overcast clouds
200,Fort Nelson,CA,58.8053,-122.7002,-34.6,67,40,3.15,scattered clouds
201,Yaan,NG,7.3833,8.5667,101.39,8,100,6.93,overcast clouds
202,Manaure,CO,11.7751,-72.4445,82.99,61,100,23.96,overcast clouds
203,Lagoa,PT,39.05,-27.9833,58.28,75,100,19.66,overcast clouds
204,Kampot,KH,10.6167,104.1833,75.2,88,20,1.14,few clouds
205,Puerto Penasco,MX,31.3167,-113.5333,46.4,53,1,4.61,clear sky
206,Horn Lake,US,34.9554,-90.0348,35.01,80,90,12.66,overcast clouds
207,Borzya,RU,50.3833,116.5167,-15.93,86,0,1.19,clear sky
208,Murmansk,RU,68.0,34.0,10.0,87,70,3.98,broken clouds
209,Clyde River,CA,70.4692,-68.5914,-7.6,84,75,11.5,broken clouds
210,Sao Felix Do Xingu,BR,-6.6447,-51.995,88.84,54,63,2.39,broken clouds
211,Chokurdakh,RU,70.6333,147.9167,-28.41,84,53,1.95,broken clouds
212,Rodnykove,UA,45.043,33.9541,37.99,84,100,11.25,overcast clouds
213,Klaksvik,FO,62.2266,-6.589,35.6,80,40,11.5,scattered clouds
214,Plakhtiyivka,UA,46.1006,29.7217,32.14,95,100,12.75,overcast clouds
215,Namibe,AO,-15.1961,12.1522,78.8,65,40,11.5,scattered clouds
216,Chernyshevskiy,RU,63.0128,112.4714,2.39,95,100,5.88,light snow
217,Nizwa,OM,22.9333,57.5333,62.76,34,0,2.62,clear sky
218,Jumla,NP,29.2747,82.1838,35.53,61,0,7.23,clear sky
219,Gaoual,GN,11.75,-13.2,103.28,9,0,6.31,clear sky
220,Lebu,CL,-37.6167,-73.65,62.51,79,79,4.23,broken clouds
221,San Ramon,US,37.7799,-121.978,46.99,75,1,4.61,clear sky
222,Conceicao Do Araguaia,BR,-8.2578,-49.2647,79.52,84,100,5.82,overcast clouds
223,Kyzyl-Suu,KG,42.3414,78.0056,35.98,77,100,4.81,overcast clouds
224,Naryan-Mar,RU,67.6713,53.087,-19.7,87,100,13.31,overcast clouds
225,Vestmannaeyjar,IS,63.4427,-20.2734,37.4,75,40,24.16,scattered clouds
226,Faya,SA,18.3851,42.4509,62.6,58,20,9.22,few clouds
227,Mahebourg,MU,-20.4081,57.7,80.6,89,40,11.5,scattered clouds
228,Cuamba,MZ,-14.8031,36.5372,80.67,82,71,2.84,light rain
229,Luderitz,NA,-26.6481,15.1594,78.31,47,0,34.69,clear sky
230,At-Bashi,KG,41.1702,75.8106,25.07,87,100,1.92,overcast clouds
231,Magadan,RU,59.5667,150.8,14.76,88,100,20.8,overcast clouds
232,Sicuani,PE,-14.2694,-71.2261,57.31,50,52,3.22,broken clouds
233,Gornopravdinsk,RU,60.05,69.9,2.62,91,100,14.25,overcast clouds
234,La Ronge,CA,55.1001,-105.2842,-43.6,66,0,5.75,clear sky
235,Bugulma,RU,54.55,52.8,-7.13,90,100,15.73,overcast clouds
236,Padang,ID,-0.9492,100.3543,80.6,89,20,2.3,few clouds
237,Bilibino,RU,68.0546,166.4372,-1.98,71,0,4.97,clear sky
238,Sinnamary,GF,5.3833,-52.95,78.96,86,72,14.58,broken clouds
239,Praia Da Vitoria,PT,38.7333,-27.0667,63.0,88,40,17.92,scattered clouds
240,Tasiilaq,GL,65.6145,-37.6368,21.2,63,1,3.44,clear sky
241,Prince Rupert,CA,54.3161,-130.3201,33.8,86,1,6.91,clear sky
242,Sacramento,US,38.4666,-121.3177,43.0,100,1,4.41,fog
243,Micheweni,TZ,-4.9667,39.8333,82.18,76,84,14.74,broken clouds
244,Alta Floresta,BR,-9.8756,-56.0861,72.41,97,100,4.72,overcast clouds
245,Wad Rawah,SD,15.1603,33.1397,84.7,16,0,15.01,clear sky
246,Xifeng,CN,42.7372,124.7222,1.22,90,0,4.09,clear sky
247,Cerrito,CO,6.8432,-72.694,77.0,61,20,6.91,few clouds
248,Constantine,DZ,36.365,6.6147,55.4,58,40,10.36,scattered clouds
249,Khartoum,SD,15.5518,32.5324,84.2,18,0,13.8,clear sky
250,Ilulissat,GL,69.2167,-51.1,23.0,46,0,35.68,mist
251,Tomatlan,MX,19.9333,-105.25,71.38,76,11,1.59,few clouds
252,Lively,CA,46.4334,-81.1498,8.01,60,20,9.22,few clouds
253,Kentau,KZ,43.5206,68.5094,40.64,74,100,5.95,overcast clouds
254,Pipri,IN,19.8,75.5333,71.6,40,0,2.3,clear sky
255,Askino,RU,56.0901,56.5783,-5.73,89,100,14.38,overcast clouds
256,Buraydah,SA,26.326,43.975,59.0,94,75,18.41,broken clouds
257,Flin Flon,CA,54.7682,-101.865,-38.2,67,1,9.22,snow
258,Basco,PH,20.4487,121.9702,74.19,85,100,23.15,overcast clouds
259,Sitka,US,57.0531,-135.33,30.2,59,75,3.44,broken clouds
260,Senekal,ZA,-28.3197,27.6208,80.78,37,60,3.56,broken clouds
261,Darhan,MN,49.4867,105.9228,4.48,88,6,6.35,clear sky
262,Bandarban,BD,22.1965,92.2262,61.18,50,0,2.48,clear sky
263,Labuhan,ID,-6.8844,112.2051,79.68,83,99,13.2,overcast clouds
264,Bethel,US,41.3712,-73.414,30.0,64,90,5.75,snow
265,Plettenberg Bay,ZA,-34.0527,23.3716,66.45,80,99,7.14,overcast clouds
266,Sakakah,SA,29.9697,40.2064,64.4,29,0,4.61,clear sky
267,Saldanha,ZA,-33.0117,17.9442,73.4,46,0,25.32,clear sky
268,Saint-Francois,FR,46.4154,3.9054,45.0,65,75,9.22,broken clouds
269,Fernandopolis,BR,-20.2839,-50.2464,84.67,48,1,1.68,clear sky
270,Souillac,MU,-20.5167,57.5167,80.6,89,40,11.5,scattered clouds
271,Nome,US,64.5011,-165.4064,6.8,78,90,3.65,overcast clouds
272,Lata,PT,40.1629,-8.3327,55.0,84,100,1.99,overcast clouds
273,Pajapan,MX,18.25,-94.7,77.0,78,75,11.5,broken clouds
274,Parkes,AU,-33.1333,148.1833,66.99,73,93,3.67,overcast clouds
275,Rochdale,GB,53.6177,-2.1552,37.0,87,95,1.99,overcast clouds
276,Neulengbach,AT,48.1974,15.9022,33.01,99,100,8.01,light snow
277,Longyearbyen,SJ,78.2186,15.6401,17.6,67,75,19.57,light snow
278,Grindavik,IS,63.8424,-22.4338,33.8,64,20,14.97,few clouds
279,Cherkasskoye,RU,52.4333,47.2167,-5.42,88,99,11.95,overcast clouds
280,Baykit,RU,61.67,96.37,26.31,96,100,4.85,overcast clouds
281,Koulamoutou,GA,-1.1303,12.4736,81.39,70,85,2.28,overcast clouds
282,Salinopolis,BR,-0.6136,-47.3561,81.52,84,50,10.6,scattered clouds
283,The Valley,AI,18.217,-63.0578,82.4,69,40,19.57,scattered clouds
284,Necochea,AR,-38.5473,-58.7368,61.0,93,89,14.27,light rain
285,Riom,FR,45.9167,2.9167,46.4,61,75,9.22,broken clouds
286,Canico,PT,32.6333,-16.85,64.4,68,40,8.05,scattered clouds
287,Dingle,PH,10.9995,122.6711,75.97,90,100,8.84,moderate rain
288,Homer,US,59.6425,-151.5483,21.2,92,1,5.75,clear sky
289,Pevek,RU,69.7008,170.3133,-7.65,87,0,2.13,clear sky
290,Tuatapere,NZ,-46.1333,167.6833,55.0,73,100,4.9,overcast clouds
291,Belyy Yar,RU,53.6039,91.3903,17.6,86,100,2.24,overcast clouds
