City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Norman Wells,CA,2021-02-02 23:18:20,65.282,-126.8329,-18.4,69,75,8.05
90,Emba,KZ,2021-02-02 23:18:20,48.8264,58.1442,31.37,97,100,11.3
91,Half Moon Bay,US,2021-02-02 23:15:46,37.4636,-122.4286,60.8,82,20,4.61
92,Georgetown,MY,2021-02-02 23:18:21,5.4112,100.3354,78.01,88,20,6.29
93,Kahului,US,2021-02-02 23:18:21,20.8947,-156.47,78.8,61,20,13.8
94,Toppenish,US,2021-02-02 23:18:21,46.3774,-120.3087,48.0,52,5,22.24
95,Chokurdakh,RU,2021-02-02 23:17:51,70.6333,147.9167,-9.83,89,48,6.98
96,Yellowknife,CA,2021-02-02 23:15:05,62.456,-114.3525,-11.0,70,75,12.66
97,Pitimbu,BR,2021-02-02 23:18:21,-7.4706,-34.8086,80.6,78,0,8.05
98,Puerto Ayora,EC,2021-02-02 23:18:21,-0.7393,-90.3518,84.2,70,0,17.27
99,Kamenka,RU,2021-02-02 23:18:21,51.3223,42.7678,33.01,97,100,5.01
100,Hovd,MN,2021-02-02 23:18:21,48.0056,91.6419,3.29,86,76,1.32
101,Fort Nelson,CA,2021-02-02 23:18:22,58.8053,-122.7002,-7.6,71,90,10.36
102,Nikolskoye,RU,2021-02-02 23:18:22,59.7035,30.7861,23.0,86,90,11.18
103,Charters Towers,AU,2021-02-02 23:18:22,-20.1,146.2667,80.74,62,0,6.4
104,Grand Gaube,MU,2021-02-02 23:14:33,-20.0064,57.6608,79.0,76,12,5.01
105,Husavik,IS,2021-02-02 23:18:22,66.0449,-17.3389,12.2,73,0,5.75
106,Qaqortoq,GL,2021-02-02 23:18:22,60.7167,-46.0333,23.0,54,40,3.44
107,Fraga,ES,2021-02-02 23:18:22,41.5229,0.3489,51.8,82,0,5.75
108,Chabahar,IR,2021-02-02 23:18:22,25.2919,60.643,68.79,57,0,7.63
109,Sangar,RU,2021-02-02 23:18:23,63.9242,127.4739,-42.38,80,100,4.74
110,Boshnyakovo,RU,2021-02-02 23:18:23,49.6333,142.1667,-20.15,87,95,8.3
111,Vanimo,PG,2021-02-02 23:14:55,-2.6741,141.3028,77.45,87,100,8.5
112,Aksu,CN,2021-02-02 23:18:23,41.1231,80.2644,24.35,78,0,4.29
113,Ucluelet,CA,2021-02-02 23:17:05,48.9329,-125.5528,46.0,81,90,13.8
114,Soyo,AO,2021-02-02 23:18:23,-6.1349,12.3689,79.3,81,100,6.71
115,Arraial Do Cabo,BR,2021-02-02 23:18:10,-22.9661,-42.0278,78.8,78,0,12.66
116,Nouakchott,MR,2021-02-02 23:18:23,18.0858,-15.9785,69.8,52,0,10.36
117,Tuatapere,NZ,2021-02-02 23:18:23,-46.1333,167.6833,66.16,68,91,6.26
118,Port Elizabeth,ZA,2021-02-02 23:18:24,-33.918,25.5701,66.2,88,0,6.91
119,New Norfolk,AU,2021-02-02 23:18:24,-42.7826,147.0587,62.01,55,98,1.99
120,Cape Town,ZA,2021-02-02 23:18:02,-33.9258,18.4232,69.01,82,0,16.11
121,Pisco,PE,2021-02-02 23:14:23,-13.7,-76.2167,73.4,68,0,17.27
122,Ino,JP,2021-02-02 23:14:07,33.55,133.4333,32.0,69,20,5.75
123,Tuktoyaktuk,CA,2021-02-02 23:18:24,69.4541,-133.0374,-34.6,74,1,3.44
124,Hithadhoo,MV,2021-02-02 23:18:24,-0.6,73.0833,81.82,72,77,3.91
125,Chuy,UY,2021-02-02 23:18:24,-33.6971,-53.4616,73.18,88,54,6.62
126,Lichuan,CN,2021-02-02 23:18:24,30.3,108.85,34.43,87,34,0.31
127,Laureles,US,2021-02-02 23:18:25,26.1092,-97.4941,66.99,59,1,12.66
128,Antofagasta,CL,2021-02-02 23:13:37,-23.65,-70.4,66.2,72,40,13.8
129,Aklavik,CA,2021-02-02 23:14:25,68.2191,-135.0107,-27.4,75,20,6.91
130,Bredasdorp,ZA,2021-02-02 23:18:25,-34.5322,20.0403,59.0,88,0,4.61
131,Bengkulu,ID,2021-02-02 23:18:25,-3.8004,102.2655,75.34,87,100,5.7
132,Hay River,CA,2021-02-02 23:18:25,60.8156,-115.7999,-13.0,77,100,10.36
133,Victoria,HK,2021-02-02 23:17:34,22.2855,114.1577,63.0,73,78,5.01
134,Vao,NC,2021-02-02 23:18:25,-22.6667,167.4833,79.14,76,100,41.96
135,Varkkallai,IN,2021-02-02 23:18:25,8.7341,76.7067,82.4,74,20,9.13
136,Inirida,CO,2021-02-02 23:18:25,3.8653,-67.9239,79.59,80,78,2.46
137,Malakal,SS,2021-02-02 23:18:26,9.5334,31.6605,79.83,22,1,4.47
138,Ossora,RU,2021-02-02 23:18:26,59.2353,163.0719,1.76,92,97,3.22
139,Nushki,PK,2021-02-02 23:18:26,29.5542,66.0215,46.81,48,0,2.53
140,Cherskiy,RU,2021-02-02 23:18:16,68.75,161.3,-4.18,86,0,1.19
141,Nanakuli,US,2021-02-02 23:18:26,21.3906,-158.1547,78.8,65,75,9.22
142,Tasiilaq,GL,2021-02-02 23:18:00,65.6145,-37.6368,19.4,93,90,4.61
143,Egvekinot,RU,2021-02-02 23:18:26,66.3167,-179.1667,0.46,91,100,12.68
144,Barra Do Garcas,BR,2021-02-02 23:18:26,-15.89,-52.2567,80.24,63,100,0.65
145,Kaitangata,NZ,2021-02-02 23:18:26,-46.2817,169.8464,69.01,63,92,8.99
146,Victor Harbor,AU,2021-02-02 23:18:27,-35.5667,138.6167,64.0,68,0,12.19
147,Klaksvik,FO,2021-02-02 23:18:27,62.2266,-6.589,35.6,75,20,11.5
148,Riyadh,SA,2021-02-02 23:18:27,24.6877,46.7219,60.8,31,0,5.75
149,Saskylakh,RU,2021-02-02 23:18:27,71.9167,114.0833,-3.23,91,100,13.98
150,Mount Gambier,AU,2021-02-02 23:18:27,-37.8333,140.7667,62.6,63,90,13.8
151,Byron Bay,AU,2021-02-02 23:16:44,-28.65,153.6167,73.4,88,90,11.5
152,Atar,MR,2021-02-02 23:18:27,20.5169,-13.0499,71.42,19,0,7.07
153,Camabatela,AO,2021-02-02 23:18:28,-8.1881,15.375,64.06,98,100,1.14
154,Hami,CN,2021-02-02 23:15:07,42.8,93.45,26.58,77,100,2.95
155,Havoysund,NO,2021-02-02 23:18:28,70.9963,24.6622,21.2,86,75,6.91
156,Dawlatabad,AF,2021-02-02 23:18:28,36.4141,64.9053,43.05,81,83,0.76
157,Tucurui,BR,2021-02-02 23:16:49,-3.7661,-49.6725,75.58,91,35,2.51
158,Whitehorse,CA,2021-02-02 23:18:28,60.7161,-135.0538,-9.0,64,20,4.61
159,Sao Filipe,CV,2021-02-02 23:18:28,14.8961,-24.4956,73.26,74,1,8.48
160,Bograd,RU,2021-02-02 23:18:29,54.2344,90.8328,-5.8,77,100,4.09
161,Laiyang,CN,2021-02-02 23:18:29,36.9758,120.7136,26.01,61,0,4.85
162,Dikson,RU,2021-02-02 23:14:34,73.5069,80.5464,-23.82,84,2,13.04
163,Iqaluit,CA,2021-02-02 23:18:29,63.7506,-68.5145,-18.4,69,90,3.44
164,Shilovo,RU,2021-02-02 23:18:29,54.3204,40.874,14.02,95,97,6.24
165,Esso,RU,2021-02-02 23:18:29,55.9333,158.7,6.33,89,100,3.76
166,Rawson,AR,2021-02-02 23:18:29,-43.3002,-65.1023,78.1,29,0,8.52
167,Lere,NG,2021-02-02 23:18:30,10.387,8.5726,68.04,24,0,4.63
168,Dong Hoi,VN,2021-02-02 23:18:30,17.4833,106.6,68.45,90,63,2.53
169,Susangerd,IR,2021-02-02 23:14:41,31.5608,48.1831,57.2,54,0,4.61
170,Jumla,NP,2021-02-02 23:15:07,29.2747,82.1838,32.56,75,0,3.91
171,Ashqelon,IL,2021-02-02 23:18:30,31.6693,34.5715,62.01,63,0,4.61
172,Umm Kaddadah,SD,2021-02-02 23:18:30,13.6017,26.6876,76.39,19,0,9.19
173,Khatanga,RU,2021-02-02 23:18:30,71.9667,102.5,-23.24,86,70,6.51
174,Kirakira,SB,2021-02-02 23:16:20,-10.4544,161.9205,82.0,82,87,14.29
175,Avarua,CK,2021-02-02 23:18:30,-21.2078,-159.775,84.2,74,78,4.61
176,Uniao,BR,2021-02-02 23:18:30,-4.5858,-42.8642,84.2,65,0,5.75
177,Korhogo,CI,2021-02-02 23:18:31,9.45,-5.6333,73.85,19,0,2.08
178,Sao Luiz Gonzaga,BR,2021-02-02 23:18:31,-28.4083,-54.9608,77.52,84,30,5.21
179,Lebyazhye,RU,2021-02-02 23:18:31,55.2689,66.4947,33.96,92,100,17.78
180,Chara,RU,2021-02-02 23:18:31,56.9064,118.2631,-30.78,67,12,2.55
181,Manado,ID,2021-02-02 23:18:31,1.487,124.8455,75.2,94,20,2.3
182,General Roca,AR,2021-02-02 23:15:12,-39.0333,-67.5833,86.0,28,0,3.44
183,Nabire,ID,2021-02-02 23:16:06,-3.3667,135.4833,77.41,85,100,2.44
184,Ilulissat,GL,2021-02-02 23:18:31,69.2167,-51.1,-5.8,77,20,21.85
185,Selenduma,RU,2021-02-02 23:18:31,50.9131,106.2406,-13.47,84,10,3.51
186,Touros,BR,2021-02-02 23:18:32,-5.1989,-35.4608,78.8,78,20,8.05
187,Polunochnoye,RU,2021-02-02 23:18:32,60.8697,60.4153,7.03,93,16,4.65
188,Thompson,CA,2021-02-02 23:15:54,55.7435,-97.8558,15.8,92,90,4.61
189,Silchar,IN,2021-02-02 23:18:32,24.8167,92.8,53.49,70,1,3.15
190,Abu Dhabi,AE,2021-02-02 23:14:04,24.4667,54.3667,62.6,82,20,6.91
191,Taft,IR,2021-02-02 23:18:32,31.7471,54.2088,42.8,33,0,4.61
192,Constitucion,CL,2021-02-02 23:18:22,-35.3333,-72.4167,63.36,73,11,6.15
193,Warwick,US,2021-02-02 23:18:32,41.7001,-71.4162,33.8,80,90,17.27
194,Manaure,CO,2021-02-02 23:18:32,11.7751,-72.4445,82.65,63,0,11.1
195,Charlestown,AU,2021-02-02 23:18:32,-32.95,151.6667,73.0,81,74,12.44
196,Beloha,MG,2021-02-02 23:18:33,-25.1667,45.05,77.94,84,18,12.66
197,Flin Flon,CA,2021-02-02 23:18:33,54.7682,-101.865,21.2,93,90,4.61
198,Pacific Grove,US,2021-02-02 23:18:33,36.6177,-121.9166,57.99,88,75,3.44
199,Dharchula,IN,2021-02-02 23:18:33,29.85,80.5333,45.0,43,0,6.44
200,Conceicao Do Araguaia,BR,2021-02-02 23:18:33,-8.2578,-49.2647,76.87,84,84,2.68
201,Lebu,CL,2021-02-02 23:15:05,-37.6167,-73.65,60.93,75,18,11.9
202,Khasan,RU,2021-02-02 23:18:33,42.4308,130.6434,5.88,83,0,12.3
203,Souillac,MU,2021-02-02 23:14:21,-20.5167,57.5167,78.8,78,40,6.91
204,Fortuna,US,2021-02-02 23:18:33,40.5982,-124.1573,54.0,71,1,11.5
205,Kourou,GF,2021-02-02 23:18:34,5.1552,-52.6478,78.8,94,75,8.05
206,Limbang,MY,2021-02-02 23:18:34,4.75,115.0,78.8,89,75,9.22
207,Oliveira,BR,2021-02-02 23:18:34,-20.6964,-44.8272,67.68,87,100,1.34
208,Chapais,CA,2021-02-02 23:17:40,49.7834,-74.8492,19.4,73,1,10.36
209,Khiri Mat,TH,2021-02-02 23:18:34,16.8333,99.8,78.01,99,55,2.04
210,Sioux Lookout,CA,2021-02-02 23:18:34,50.1001,-91.917,23.0,86,90,9.22
211,Bukama,CD,2021-02-02 23:18:34,-9.2,25.85,69.89,91,100,1.92
212,Korla,CN,2021-02-02 23:17:56,41.7597,86.1469,24.1,81,2,2.48
213,Pangnirtung,CA,2021-02-02 23:18:35,66.1451,-65.7125,-20.2,63,20,3.44
214,Kyzyl-Suu,KG,2021-02-02 23:18:35,42.3414,78.0056,24.69,79,11,9.13
215,Labuhan,ID,2021-02-02 23:18:35,-6.8844,112.2051,78.39,84,98,7.78
216,Adeje,ES,2021-02-02 23:18:35,28.1227,-16.726,64.4,77,75,6.91
217,Tres Arroyos,AR,2021-02-02 23:18:35,-38.3739,-60.2798,65.68,57,37,9.86
218,Saldanha,ZA,2021-02-02 23:18:35,-33.0117,17.9442,64.4,82,0,5.75
219,Amapa,BR,2021-02-02 23:18:36,1.0,-52.0,73.24,97,98,2.77
220,Yerbogachen,RU,2021-02-02 23:18:36,61.2767,108.0108,-36.67,81,31,4.68
221,Havre-Saint-Pierre,CA,2021-02-02 23:18:36,50.2334,-63.5986,24.8,50,90,10.36
222,Batticaloa,LK,2021-02-02 23:18:36,7.7102,81.6924,77.52,82,100,14.7
223,Omagari,JP,2021-02-02 23:18:36,39.45,140.4833,23.0,93,75,12.66
224,Alencon,FR,2021-02-02 23:18:36,48.4333,0.0833,53.6,82,90,6.91
225,Cozumel,MX,2021-02-02 23:18:36,20.5083,-86.9458,73.99,53,75,11.5
226,Goldsboro,US,2021-02-02 23:15:28,35.3849,-77.9928,42.8,45,1,17.27
